id,nodeId,timestamp,soilMoisture,temperature,humidity,reservoirLevel,ph,nitrogen,phosphorus,potassium,soilMoisture_class,temperature_class,humidity_class,reservoirLevel_class,nitrogen_class,phosphorus_class,potassium_class
cmnyxjq0p0000zhes5p3x3tcr,cmmx6howt0000bi1zgfsisou2,2024-04-11 06:00:00.000,34.17,23.16,86.45,15.18,7.0,17.3,24.6,47.7,low,optimal,criticalHigh,low,optimal,optimal,optimal
cmnyxjq0p0001zhesr9wsv1vs,cmmx6howt0000bi1zgfsisou2,2024-04-11 06:10:33.708,37.87,23.27,86.45,15.96,7.0,17.1,24.7,47.1,low,optimal,criticalHigh,low,optimal,optimal,optimal
cmnyxjq0p0002zhesfryts259,cmmx6howt0000bi1zgfsisou2,2024-04-11 06:21:07.416,39.93,23.31,87.07,19.6,7.0,16.5,23.1,48.8,low,optimal,criticalHigh,low,optimal,optimal,optimal
cmnyxjq0p0003zhesv9687zc1,cmmx6howt0000bi1zgfsisou2,2024-04-11 06:31:41.124,43.23,23.32,86.45,21.87,7.0,16.2,22.1,45.2,optimal,optimal,criticalHigh,low,optimal,optimal,optimal
cmnyxjq0p0004zheseogid83b,cmmx6howt0000bi1zgfsisou2,2024-04-11 06:42:14.832,45.31,23.4,86.98,23.64,7.0,14.7,25.2,47.0,optimal,optimal,criticalHigh,low,optimal,optimal,optimal
cmnyxjq0p0005zhes7sunqf9k,cmmx6howt0000bi1zgfsisou2,2024-04-11 06:52:48.540,48.09,23.35,87.79,24.33,7.0,16.4,23.0,48.2,optimal,optimal,criticalHigh,low,optimal,optimal,optimal
cmnyxjq0p0006zhesr04vxy2g,cmmx6howt0000bi1zgfsisou2,2024-04-11 07:03:22.248,52.21,23.33,86.15,26.24,7.0,13.9,24.7,48.2,optimal,optimal,criticalHigh,optimal,low,optimal,optimal
cmnyxjq0p0007zhesyjetp634,cmmx6howt0000bi1zgfsisou2,2024-04-11 07:13:55.956,55.94,23.21,86.16,27.67,7.0,15.1,21.8,45.3,optimal,optimal,criticalHigh,optimal,optimal,optimal,optimal
cmnyxjq0p0008zhesygcry23w,cmmx6howt0000bi1zgfsisou2,2024-04-11 07:24:29.664,56.7,23.29,87.17,29.85,7.0,15.9,21.6,44.6,optimal,optimal,criticalHigh,optimal,optimal,optimal,optimal
cmnyxjq0p0009zhesldwcc419,cmmx6howt0000bi1zgfsisou2,2024-04-11 07:35:03.372,59.01,23.35,87.48,32.43,7.0,14.0,24.2,41.9,optimal,optimal,criticalHigh,optimal,low,optimal,optimal
