timestamp,nodeId,soilMoisture,soilMoisture_class,reservoirLevel,reservoirLevel_class,decision
2024-04-11 06:00:00.000,cmmx6howt0000bi1zgfsisou2,34.17,low,15.18,low,MONITOR
2024-04-11 06:10:33.708,cmmx6howt0000bi1zgfsisou2,37.87,low,15.96,low,MONITOR
2024-04-11 06:21:07.416,cmmx6howt0000bi1zgfsisou2,39.93,low,19.6,low,MONITOR
2024-04-11 06:31:41.124,cmmx6howt0000bi1zgfsisou2,43.23,optimal,21.87,low,PUMP_OFF
2024-04-11 06:42:14.832,cmmx6howt0000bi1zgfsisou2,45.31,optimal,23.64,low,PUMP_OFF
2024-04-11 06:52:48.540,cmmx6howt0000bi1zgfsisou2,48.09,optimal,24.33,low,PUMP_OFF
2024-04-11 07:03:22.248,cmmx6howt0000bi1zgfsisou2,52.21,optimal,26.24,optimal,PUMP_OFF
2024-04-11 07:13:55.956,cmmx6howt0000bi1zgfsisou2,55.94,optimal,27.67,optimal,PUMP_OFF
2024-04-11 07:24:29.664,cmmx6howt0000bi1zgfsisou2,56.7,optimal,29.85,optimal,PUMP_OFF
2024-04-11 07:35:03.372,cmmx6howt0000bi1zgfsisou2,59.01,optimal,32.43,optimal,PUMP_OFF
2024-04-11 07:45:37.080,cmmx6howt0000bi1zgfsisou2,63.45,optimal,32.78,optimal,PUMP_OFF
2024-04-11 07:56:10.788,cmmx6howt0000bi1zgfsisou2,65.98,optimal,37.21,optimal,PUMP_OFF
2024-04-11 08:06:44.496,cmmx6howt0000bi1zgfsisou2,68.69,optimal,33.02,optimal,PUMP_OFF
2024-04-11 08:17:18.204,cmmx6howt0000bi1zgfsisou2,69.94,optimal,40.54,optimal,PUMP_OFF
2024-04-11 08:27:51.912,cmmx6howt0000bi1zgfsisou2,74.05,high,42.24,optimal,PUMP_OFF
2024-04-11 08:38:25.620,cmmx6howt0000bi1zgfsisou2,76.52,high,44.47,optimal,PUMP_OFF
2024-04-11 08:48:59.328,cmmx6howt0000bi1zgfsisou2,80.35,high,44.86,optimal,PUMP_OFF
2024-04-11 08:59:33.036,cmmx6howt0000bi1zgfsisou2,82.48,high,50.94,optimal,PUMP_OFF
2024-04-11 09:10:06.744,cmmx6howt0000bi1zgfsisou2,85.03,criticalHigh,49.37,optimal,ALERT_DRAINAGE
2024-04-11 09:20:40.452,cmmx6howt0000bi1zgfsisou2,88.25,criticalHigh,53.13,optimal,ALERT_DRAINAGE
2024-04-11 09:31:14.160,cmmx6howt0000bi1zgfsisou2,90.09,criticalHigh,57.1,optimal,ALERT_DRAINAGE
2024-04-11 09:41:47.868,cmmx6howt0000bi1zgfsisou2,90.67,criticalHigh,60.83,optimal,ALERT_DRAINAGE
2024-04-11 09:52:21.576,cmmx6howt0000bi1zgfsisou2,90.96,criticalHigh,58.55,optimal,ALERT_DRAINAGE
2024-04-11 10:02:55.284,cmmx6howt0000bi1zgfsisou2,89.01,criticalHigh,64.86,optimal,ALERT_DRAINAGE
2024-04-11 10:13:28.992,cmmx6howt0000bi1zgfsisou2,88.93,criticalHigh,56.17,optimal,ALERT_DRAINAGE
2024-04-11 10:24:02.700,cmmx6howt0000bi1zgfsisou2,87.8,criticalHigh,74.89,optimal,ALERT_DRAINAGE
2024-04-11 10:34:36.408,cmmx6howt0000bi1zgfsisou2,85.41,criticalHigh,72.87,optimal,ALERT_DRAINAGE
2024-04-11 10:45:10.116,cmmx6howt0000bi1zgfsisou2,86.63,criticalHigh,62.2,optimal,ALERT_DRAINAGE
2024-04-11 10:55:43.824,cmmx6howt0000bi1zgfsisou2,84.43,high,72.75,optimal,PUMP_OFF
2024-04-11 11:06:17.532,cmmx6howt0000bi1zgfsisou2,83.85,high,74.56,optimal,PUMP_OFF
2024-04-11 11:16:51.240,cmmx6howt0000bi1zgfsisou2,83.88,high,81.29,high,PUMP_OFF
2024-04-11 11:27:24.948,cmmx6howt0000bi1zgfsisou2,81.46,high,70.47,optimal,PUMP_OFF
2024-04-11 11:37:58.656,cmmx6howt0000bi1zgfsisou2,81.63,high,88.7,high,PUMP_OFF
2024-04-11 11:48:32.364,cmmx6howt0000bi1zgfsisou2,79.19,high,80.1,high,PUMP_OFF
2024-04-11 11:59:06.072,cmmx6howt0000bi1zgfsisou2,80.08,high,73.52,optimal,PUMP_OFF
2024-04-11 12:09:39.780,cmmx6howt0000bi1zgfsisou2,77.75,high,81.41,high,PUMP_OFF
2024-04-11 12:20:13.488,cmmx6howt0000bi1zgfsisou2,76.25,high,82.28,high,PUMP_OFF
2024-04-11 12:30:47.196,cmmx6howt0000bi1zgfsisou2,76.75,high,75.23,high,PUMP_OFF
2024-04-11 12:41:20.904,cmmx6howt0000bi1zgfsisou2,74.28,high,85.36,high,PUMP_OFF
2024-04-11 12:51:54.612,cmmx6howt0000bi1zgfsisou2,75.17,high,82.28,high,PUMP_OFF
2024-04-11 13:02:28.320,cmmx6howt0000bi1zgfsisou2,74.9,high,86.81,high,PUMP_OFF
2024-04-11 13:13:02.028,cmmx6howt0000bi1zgfsisou2,73.0,high,68.65,optimal,PUMP_OFF
2024-04-11 13:23:35.736,cmmx6howt0000bi1zgfsisou2,70.73,high,80.9,high,PUMP_OFF
2024-04-11 13:34:09.444,cmmx6howt0000bi1zgfsisou2,71.91,high,71.92,optimal,PUMP_OFF
2024-04-11 13:44:43.152,cmmx6howt0000bi1zgfsisou2,69.95,optimal,75.17,high,PUMP_OFF
2024-04-11 13:55:16.860,cmmx6howt0000bi1zgfsisou2,69.11,optimal,72.22,optimal,PUMP_OFF
2024-04-11 14:05:50.568,cmmx6howt0000bi1zgfsisou2,67.52,optimal,67.08,optimal,PUMP_OFF
2024-04-11 14:16:24.276,cmmx6howt0000bi1zgfsisou2,68.17,optimal,67.07,optimal,PUMP_OFF
2024-04-11 14:26:57.984,cmmx6howt0000bi1zgfsisou2,65.91,optimal,64.49,optimal,PUMP_OFF
2024-04-11 14:37:31.692,cmmx6howt0000bi1zgfsisou2,65.22,optimal,64.83,optimal,PUMP_OFF
2024-04-11 14:48:05.400,cmmx6howt0000bi1zgfsisou2,64.35,optimal,71.42,optimal,PUMP_OFF
2024-04-11 14:58:39.108,cmmx6howt0000bi1zgfsisou2,62.3,optimal,70.09,optimal,PUMP_OFF
2024-04-11 15:09:12.816,cmmx6howt0000bi1zgfsisou2,62.16,optimal,66.63,optimal,PUMP_OFF
2024-04-11 15:19:46.524,cmmx6howt0000bi1zgfsisou2,62.38,optimal,67.05,optimal,PUMP_OFF
2024-04-11 15:30:20.232,cmmx6howt0000bi1zgfsisou2,59.75,optimal,67.28,optimal,PUMP_OFF
2024-04-11 15:40:53.940,cmmx6howt0000bi1zgfsisou2,60.54,optimal,63.89,optimal,PUMP_OFF
2024-04-11 15:51:27.648,cmmx6howt0000bi1zgfsisou2,58.28,optimal,61.7,optimal,PUMP_OFF
2024-04-11 16:02:01.356,cmmx6howt0000bi1zgfsisou2,57.28,optimal,66.45,optimal,PUMP_OFF
2024-04-11 16:12:35.064,cmmx6howt0000bi1zgfsisou2,58.26,optimal,64.46,optimal,PUMP_OFF
2024-04-11 16:23:08.772,cmmx6howt0000bi1zgfsisou2,55.22,optimal,61.96,optimal,PUMP_OFF
2024-04-11 16:33:42.480,cmmx6howt0000bi1zgfsisou2,54.6,optimal,60.46,optimal,PUMP_OFF
2024-04-11 16:44:16.188,cmmx6howt0000bi1zgfsisou2,54.81,optimal,63.83,optimal,PUMP_OFF
2024-04-11 16:54:49.896,cmmx6howt0000bi1zgfsisou2,53.7,optimal,64.01,optimal,PUMP_OFF
2024-04-11 17:05:23.604,cmmx6howt0000bi1zgfsisou2,51.64,optimal,64.65,optimal,PUMP_OFF
2024-04-11 17:15:57.312,cmmx6howt0000bi1zgfsisou2,51.75,optimal,61.46,optimal,PUMP_OFF
2024-04-11 17:26:31.020,cmmx6howt0000bi1zgfsisou2,49.53,optimal,63.53,optimal,PUMP_OFF
2024-04-11 17:37:04.728,cmmx6howt0000bi1zgfsisou2,50.55,optimal,65.32,optimal,PUMP_OFF
2024-04-11 17:47:38.436,cmmx6howt0000bi1zgfsisou2,48.21,optimal,63.3,optimal,PUMP_OFF
2024-04-11 17:58:12.144,cmmx6howt0000bi1zgfsisou2,48.14,optimal,62.18,optimal,PUMP_OFF
2024-04-11 18:08:45.852,cmmx6howt0000bi1zgfsisou2,46.21,optimal,56.65,optimal,PUMP_OFF
