id,nodeId,timestamp,soilMoisture,temperature,humidity,reservoirLevel,ph,nitrogen,phosphorus,potassium
cmov7d0ay00mnwjcivu25o8vu,cmmx6howt0000bi1zgfsisou2,2026-05-07 08:06:41.840,72.53176930596285,25.4,82.0,100.0,7.0,36.0,50.0,101.0
cmov7d30700mpwjcibvy4rvt3,cmmx6howt0000bi1zgfsisou2,2026-05-07 08:06:45.351,72.53176930596285,25.4,82.0,100.0,7.0,36.0,50.0,101.0
cmov7d5pu00mrwjcif4oxqyn5,cmmx6howt0000bi1zgfsisou2,2026-05-07 08:06:48.862,72.53176930596285,25.4,82.0,100.0,7.0,36.0,50.0,101.0
cmov7d8fb00mtwjcihqkx7p0x,cmmx6howt0000bi1zgfsisou2,2026-05-07 08:06:52.373,72.33626588465299,25.4,82.0,100.0,7.0,36.0,50.0,101.0
cmov7db5f00mvwjci1qalbr6t,cmmx6howt0000bi1zgfsisou2,2026-05-07 08:06:55.883,72.53176930596285,25.4,82.0,100.0,7.0,36.0,50.0,101.0
cmov7ddue00mxwjci8d1tdvgp,cmmx6howt0000bi1zgfsisou2,2026-05-07 08:06:59.394,72.53176930596285,25.5,82.0,100.0,7.0,36.0,50.0,101.0
cmov7dgjt00mzwjcil4kqbxu2,cmmx6howt0000bi1zgfsisou2,2026-05-07 08:07:02.905,72.43401759530792,25.4,82.0,100.0,7.0,36.0,50.0,101.0
cmov7dj9y00n1wjcit5knxtmh,cmmx6howt0000bi1zgfsisou2,2026-05-07 08:07:06.416,72.53176930596285,25.5,82.0,100.0,7.0,36.0,50.0,101.0
cmov7dlz200n3wjcivbyvgofh,cmmx6howt0000bi1zgfsisou2,2026-05-07 08:07:09.927,72.53176930596285,25.4,82.0,100.0,7.0,36.0,50.0,101.0
cmov7dool00n5wjciheqj5n0a,cmmx6howt0000bi1zgfsisou2,2026-05-07 08:07:13.438,72.53176930596285,25.4,82.0,100.0,7.0,36.0,50.0,101.0
cmov7dre100n7wjciacfaabko,cmmx6howt0000bi1zgfsisou2,2026-05-07 08:07:16.949,72.43401759530792,25.4,82.0,100.0,7.0,36.0,50.0,101.0
cmov7du3t00n9wjcixc6kx625,cmmx6howt0000bi1zgfsisou2,2026-05-07 08:07:20.460,72.43401759530792,25.4,82.0,100.0,7.0,36.0,50.0,101.0
cmov7dwt000nbwjcidyks993z,cmmx6howt0000bi1zgfsisou2,2026-05-07 08:07:23.971,72.53176930596285,25.4,82.0,100.0,7.0,36.0,50.0,101.0
cmov7dzj700ndwjciq1f1gngv,cmmx6howt0000bi1zgfsisou2,2026-05-07 08:07:27.482,72.53176930596285,25.5,82.0,100.0,7.0,36.0,50.0,101.0
cmov7e28900nfwjcijddt97lt,cmmx6howt0000bi1zgfsisou2,2026-05-07 08:07:30.989,72.33626588465299,25.5,82.0,99.41,7.0,36.0,50.0,101.0
